index,data_nx,data_ny,data_nz,data_voxels,label_nx,label_ny,label_nz,label_voxels
1,68,66,70,314160,68,66,70,314160
2,66,66,60,261360,66,66,60,261360
3,60,64,50,192000,60,64,50,192000
4,90,50,50,225000,90,50,50,225000
5,50,76,50,190000,50,76,50,190000
6,72,70,50,252000,72,70,50,252000
7,74,78,70,404040,74,78,70,404040
8,68,74,70,352240,68,74,70,352240
9,68,98,70,466480,68,98,70,466480
10,68,86,70,409360,68,86,70,409360
11,72,80,68,391680,72,80,68,391680
12,74,80,50,296000,74,80,50,296000
13,82,92,86,648784,82,92,86,648784
14,74,88,74,481888,74,88,74,481888
15,76,90,84,574560,76,90,84,574560
16,76,80,72,437760,76,80,72,437760
17,76,72,72,393984,76,72,72,393984
18,86,94,74,598216,86,94,74,598216
19,86,92,68,538016,86,92,68,538016
20,86,90,58,448920,86,90,58,448920
21,82,92,102,769488,82,92,102,769488
22,92,92,86,727904,92,92,86,727904
23,120,50,50,300000,120,50,50,300000
24,106,50,50,265000,106,50,50,265000
25,50,94,50,235000,50,94,50,235000
26,98,88,50,431200,98,88,50,431200
27,86,80,50,344000,86,80,50,344000
28,86,88,50,378400,86,88,50,378400
29,72,108,68,528768,72,108,68,528768
30,82,88,98,707168,82,88,98,707168
31,76,84,86,549024,76,84,86,549024
32,90,84,70,529200,90,84,70,529200
33,102,86,70,614040,102,86,70,614040
34,88,82,70,505120,88,82,70,505120
35,80,92,88,647680,80,92,88,647680
36,70,94,86,565880,70,94,86,565880
37,70,94,80,526400,70,94,80,526400
38,82,88,70,505120,82,88,70,505120
39,82,102,86,719304,82,102,86,719304
40,88,100,70,616000,88,100,70,616000
41,78,100,86,670800,78,100,86,670800
42,84,88,76,561792,84,88,76,561792
43,86,92,84,664608,86,92,84,664608
44,78,92,84,602784,78,92,84,602784
45,86,90,84,650160,86,90,84,650160
46,84,90,82,619920,84,90,82,619920
47,84,84,82,578592,84,84,82,578592
48,82,82,74,497576,82,82,74,497576
49,70,94,108,710640,70,94,108,710640
50,98,102,50,499800,98,102,50,499800
51,98,90,50,441000,98,90,50,441000
52,98,102,50,499800,98,102,50,499800
53,98,90,50,441000,98,90,50,441000
54,94,92,102,882096,94,92,102,882096
55,94,92,90,778320,94,92,90,778320
56,70,94,102,671160,70,94,102,671160
57,70,88,90,554400,70,88,90,554400
58,100,86,52,447200,100,86,52,447200
59,100,94,50,470000,100,94,50,470000
60,78,94,90,659880,78,94,90,659880
61,98,94,70,644840,98,94,70,644840
62,90,96,50,432000,90,96,50,432000
63,112,92,86,886144,112,92,86,886144
64,88,92,86,696256,88,92,86,696256
65,90,90,84,680400,90,90,84,680400
66,90,88,98,776160,90,88,98,776160
67,90,84,84,635040,90,84,84,635040
68,94,92,86,743728,94,92,86,743728
69,92,92,80,677120,92,92,80,677120
70,72,94,100,676800,72,94,100,676800
71,72,100,86,619200,72,100,86,619200
72,78,102,88,700128,78,102,88,700128
73,78,102,88,700128,78,102,88,700128
74,86,104,74,661856,86,104,74,661856
75,88,102,68,610368,88,102,68,610368
76,80,102,90,734400,80,102,90,734400
77,74,102,88,664224,74,102,88,664224
78,70,100,84,588000,70,100,84,588000
79,86,104,70,626080,86,104,70,626080
80,76,90,82,560880,76,90,82,560880
81,104,92,86,822848,104,92,86,822848
82,90,92,98,811440,90,92,98,811440
83,100,104,88,915200,100,104,88,915200
84,82,104,98,835744,82,104,98,835744
85,94,104,94,918944,94,104,94,918944
86,102,94,90,862920,102,94,90,862920
87,92,94,90,778320,92,94,90,778320
88,92,92,88,744832,92,92,88,744832
89,84,102,78,668304,84,102,78,668304
90,92,100,76,699200,92,100,76,699200
91,94,96,70,631680,94,96,70,631680
92,84,96,78,628992,84,96,78,628992
93,92,98,70,631120,92,98,70,631120
